2025-05-30 13:21:43,965 ERROR [http-nio-63050-exec-4][MediaFilesServiceImpl.java:279] - 检查文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0
2025-05-30 13:21:58,373 ERROR [http-nio-63050-exec-3][MediaFilesServiceImpl.java:305] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:29
2025-05-30 13:21:58,948 ERROR [http-nio-63050-exec-5][MediaFilesServiceImpl.java:305] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:30
2025-05-30 13:21:59,320 ERROR [http-nio-63050-exec-7][MediaFilesServiceImpl.java:305] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:31
2025-05-30 13:21:59,904 ERROR [http-nio-63050-exec-9][MediaFilesServiceImpl.java:305] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:32
2025-05-30 13:22:00,259 ERROR [http-nio-63050-exec-1][MediaFilesServiceImpl.java:305] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:33
2025-05-30 13:22:00,841 ERROR [http-nio-63050-exec-3][MediaFilesServiceImpl.java:305] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:34
2025-05-30 13:40:36,141 ERROR [http-nio-63050-exec-6][MediaFilesServiceImpl.java:303] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:0
2025-05-30 13:40:36,832 ERROR [http-nio-63050-exec-9][MediaFilesServiceImpl.java:303] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:1
2025-05-30 13:40:37,306 ERROR [http-nio-63050-exec-2][MediaFilesServiceImpl.java:303] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:2
2025-05-30 13:40:37,891 ERROR [http-nio-63050-exec-3][MediaFilesServiceImpl.java:303] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:3
2025-05-30 13:40:38,329 ERROR [http-nio-63050-exec-8][MediaFilesServiceImpl.java:303] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:4
2025-05-30 13:40:38,922 ERROR [http-nio-63050-exec-6][MediaFilesServiceImpl.java:303] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:5
2025-05-30 13:40:39,345 ERROR [http-nio-63050-exec-9][MediaFilesServiceImpl.java:303] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:6
2025-05-30 13:40:39,939 ERROR [http-nio-63050-exec-2][MediaFilesServiceImpl.java:303] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:7
2025-05-30 13:40:40,309 ERROR [http-nio-63050-exec-3][MediaFilesServiceImpl.java:303] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:8
2025-05-30 13:40:40,894 ERROR [http-nio-63050-exec-8][MediaFilesServiceImpl.java:303] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:9
2025-05-30 13:40:41,240 ERROR [http-nio-63050-exec-6][MediaFilesServiceImpl.java:303] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:10
2025-05-30 13:40:41,836 ERROR [http-nio-63050-exec-9][MediaFilesServiceImpl.java:303] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:11
2025-05-30 13:40:42,207 ERROR [http-nio-63050-exec-2][MediaFilesServiceImpl.java:303] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:12
2025-05-30 13:40:42,790 ERROR [http-nio-63050-exec-3][MediaFilesServiceImpl.java:303] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:13
2025-05-30 13:40:43,137 ERROR [http-nio-63050-exec-8][MediaFilesServiceImpl.java:303] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:14
2025-05-30 13:40:43,719 ERROR [http-nio-63050-exec-6][MediaFilesServiceImpl.java:303] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:15
2025-05-30 13:40:44,078 ERROR [http-nio-63050-exec-9][MediaFilesServiceImpl.java:303] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:16
2025-05-30 13:40:44,662 ERROR [http-nio-63050-exec-2][MediaFilesServiceImpl.java:303] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:17
2025-05-30 13:40:45,060 ERROR [http-nio-63050-exec-3][MediaFilesServiceImpl.java:303] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:18
2025-05-30 13:40:45,655 ERROR [http-nio-63050-exec-8][MediaFilesServiceImpl.java:303] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:19
2025-05-30 13:40:46,074 ERROR [http-nio-63050-exec-6][MediaFilesServiceImpl.java:303] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:20
2025-05-30 13:40:46,720 ERROR [http-nio-63050-exec-9][MediaFilesServiceImpl.java:303] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:21
2025-05-30 13:40:47,058 ERROR [http-nio-63050-exec-2][MediaFilesServiceImpl.java:303] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:22
2025-05-30 13:40:47,515 ERROR [http-nio-63050-exec-3][MediaFilesServiceImpl.java:303] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:23
2025-05-30 13:40:48,109 ERROR [http-nio-63050-exec-8][MediaFilesServiceImpl.java:303] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:24
2025-05-30 13:40:48,444 ERROR [http-nio-63050-exec-6][MediaFilesServiceImpl.java:303] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:25
2025-05-30 13:40:49,034 ERROR [http-nio-63050-exec-9][MediaFilesServiceImpl.java:303] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:26
2025-05-30 13:40:49,383 ERROR [http-nio-63050-exec-2][MediaFilesServiceImpl.java:303] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:27
2025-05-30 13:40:49,974 ERROR [http-nio-63050-exec-3][MediaFilesServiceImpl.java:303] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:28
2025-05-30 13:40:50,346 ERROR [http-nio-63050-exec-8][MediaFilesServiceImpl.java:303] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:29
2025-05-30 13:40:50,929 ERROR [http-nio-63050-exec-6][MediaFilesServiceImpl.java:303] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:30
2025-05-30 13:40:51,280 ERROR [http-nio-63050-exec-9][MediaFilesServiceImpl.java:303] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:31
2025-05-30 13:40:51,874 ERROR [http-nio-63050-exec-2][MediaFilesServiceImpl.java:303] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:32
2025-05-30 13:40:52,247 ERROR [http-nio-63050-exec-3][MediaFilesServiceImpl.java:303] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:33
2025-05-30 13:40:52,834 ERROR [http-nio-63050-exec-8][MediaFilesServiceImpl.java:303] - 检查分片文件失败:The specified key does not exist.,文件:3c28c0ae00e4fcf02d6d71097852d5d0,分片:34
